condition_model,PCSDesc,criticality_model,CRITICAL_SCR
0,0.25,0,0.522
0,0.25,0,0.522
0,0.3,0,0.43264999390000003
0,0.3,0,0.43264999390000003
0,0.25,0,0.5335
0,0.25,0,0.5727000122
0,0.25,0,0.5727000122
0,0.25,0,0.60625
0,0.25,0,0.60625
0,0.15,0,0.6025
0,0.25,0,0.522
0,0.15,0,0.6025
0,0.25,0,0.4227500305
0,0.25,0,0.4227500305
0,0.05,0,0.4475999756
0,0.05,0,0.4475999756
0,0.25,0,0.5727000122
0,0.25,0,0.5727000122
0,0.25,0,0.5795999756
0,0.25,0,0.735
0,0.25,0,0.735
0,0.25,0,0.4416000366
0,0.25,0,0.67375
