W/O #,Service Request #,No. of Breaks,W/O Date,SRC,Asset Type,Mat,Dia,FROM NODE,TO NODE,Failure Type,Failure Cause,W/M Depth,Soil Type,UNIT,Street,Pres Zone,Zone,Tile,COMPKEY
   270266,1,1,27/02/1987,,WMN,CI,150,600781,600777,1.1,,0.00 ,,,BALBOA DR,1,Z02,0054,522426
   269029,1,1,25/06/1985,,WMN,CI,150,600781,600777,1.1,,0.00 ,,,BALBOA DR,1,Z02,0054,522426
   279673,1,1,11/11/1998,,WMN,CI,150,600817,600818,1.1,8.7,0.00 ,,,SOUTHDOWN RD,1,Z03,0034,516728
   276112,1,1,22/01/1998,,WMN,CI,150,600817,600818,1.3,8.1,0.00 ,,,SOUTHDOWN RD,1,Z03,0034,516728
   275385,1,1,01/05/1997,,WMN,CI,150,600817,600818,1.3,8.5,0.00 ,,,SOUTHDOWN RD,1,Z03,0034,516728
   270293,1,1,13/03/1987,,WMN,CI,150,600817,600818,1.1,,0.00 ,,,SOUTHDOWN RD,1,Z03,0034,516728
   292839,1,1,19/11/2004,WOLF,WMN,DI,150,600827,600826,1.1,8.7,1.80 ,SAND,,EMBASSY AVE,1,Z03,0021,516786
  1794254,2045238,1,12/12/2013,WOLF,WMN,DI,150,600836,600837,,8.7,1.83 ,CLAY,1655,VALENTINE GDNS,1,Z03,0035,516738
   269695,1,1,21/11/1985,,WMN,CI,150,600841,600842,1.1,,0.00 ,,,WYLAN CT,1,Z03,0022,516740
  1711301,1993006,1,15/10/2013,WOLF,WMN,CI,150,600842,600847,1.1,8.5,1.98 ,SAND,1679,ANGELA CR,1,Z03,0022,516799
   248208,178624,1,01/04/2004,WOLF,WMN,CI,150,600842,600847,1.1,8.7,1.80 ,SAND,,ANGELA CR,1,Z03,0022,516799
   274227,1,1,05/09/1995,,WMN,CI,150,600844,600845,1.1,8.7,0.00 ,,,PERSEDEN RD,1,Z03,0022,516742
  2129365,2396823,1,30/01/2015,WOLF,WMN,CI,150,600846,600847,1.1,,2.31 ,,1665,MISSENDEN CR,1,Z03,0022,516743
   237102,1,1,06/02/2004,WOLF,WMN,DI,200,600862,600865,1.3,8.5,1.50 ,SACL,,SILVER BIRCH TR,1,Z03,0036,516803
   279589,1,1,03/11/1998,,WMN,DI,150,600862,600863,1.2,8.5,0.00 ,,,MALIBOU TERR,1,Z03,0036,522429
   274999,1,1,08/05/1996,,WMN,DI,150,600862,600863,1.3,8.5,0.00 ,,,MALIBOU TERR,1,Z03,0036,522429
   271649,1,1,17/09/1992,,WMN,DI,200,600865,600870,1.3,8.5,0.00 ,,,SILVER BIRCH TR,1,Z03,0023,516806
  1855514,2151383,1,24/02/2014,WOLF,WMN,CI,150,600886,600910,1.1,,0.00 ,,NO #,STONEHAVEN DR,1,Z03,0036,516762
   271672,1,1,03/12/1992,,WMN,CI,150,600894,600892,1.1,8.7,0.00 ,,,CAPTAIN CT,1,Z03,0017,522433
   267212,1,1,30/12/1980,,WMN,CI,150,600894,600892,1.1,8.6,0.00 ,,,CAPTAIN CT,1,Z03,0017,522433
   272889,1,1,22/09/1988,,WMN,CI,200,601059,6582004,1.1,,0.00 ,,,CAMBRETT DR,4,Z48W,0654,858343
  1930667,2220379,2,13/06/2014,WOLF,WMN,CI,200,601938,6586370,1.3,8.7,1.83 ,SAND,INTRSEC,QUEEN ST,1,Z09,0054,879391
   278718,1,1,06/02/1981,,WMN,CPP,500,601951,601952,1.2,,0.00 ,,,INDIAN GRV,1,,0086,517060
  1112330,1420406,1,25/01/2011,WOLF,WMN,CI,150,601960,602078,1.1,8.5,1.83 ,SAND,955,CALDWELL AVE,1,Z09,0085,517225
   280040,1,1,09/01/1999,,WMN,CI,150,601960,602078,1.1,8.7,0.00 ,,,CALDWELL AVE,1,Z09,0085,517225
   273236,1,1,25/12/1994,,WMN,CI,150,601960,602078,1.1,,0.00 ,,,CALDWELL AVE,1,Z09,0085,517225
   271882,1,1,07/01/1993,,WMN,CI,150,601960,602078,1.1,8.7,0.00 ,,,CALDWELL AVE,1,Z09,0085,517225
   272770,1,1,30/11/1988,,WMN,CI,150,601960,602078,1.1,,0.00 ,,,CALDWELL AVE,1,Z09,0085,517225
   369156,1,1,17/11/2005,WOLF,WMN,DI,150,601970,601974,1.3,,2.13 ,CLAY,,CHIPPENHAM DR,1,Z09,0101,517157
  1553695,1802020,1,14/01/2013,WOLF,WMN,DI,150,601973,6579522,1.3,8.5,1.83 ,CLAY,1544,WOODEDEN DR,1,Z09,0085,849824
   700248,1022957,1,30/12/2008,WOLF,WMN,DI,150,601973,6579522,1.3,8.5,1.83 ,CLAY,1544,WOODEDEN DR,1,Z09,0085,849824
   595972,942286,2,30/07/2008,WOLF,WMN,DI,150,601973,601974,1.3,8.5,1.83 ,CLAY,908,KOWAL DR,1,Z09,0101,517067
  1054423,1395529,1,26/11/2010,WOLF,WMN,DI,150,601974,6569485,1.3,8.5,2.74 ,CLAY,881,CHIPPENHAM DR,1,Z09,0101,792047
  1054708,1395529,2,26/11/2010,WOLF,WMN,DI,150,601974,6569485,1.3,8.5,2.74 ,CLAY,881,CHIPPENHAM DR,1,Z09,0101,792047
   279275,1,1,17/08/1985,,WMN,CI,150,601978,601979,1.1,,0.00 ,,,PENFIELD RD,1,Z09,0085,517070
  1482018,1812203,1,10/12/2012,WOLF,WMN,CI,150,601985,601986,1.1,8.7,1.83 ,CLAY,864,TERLIN BLVD,1,Z09,0086,517072
  1474961,1803223,1,22/11/2012,WOLF,WMN,PVC,150,601994,601995,1.3,8.6,2.13 ,SAND,1116,TECUMSEH PARK DR,1,Z09,0069,517170
   910140,1229779,1,10/01/2010,WOLF,WMN,DI,200,602009,6586858,1.3,8.5,1.65 ,GRAC,1050,QUEEN ST,1,Z09,0054,881516
   910041,1229779,1,10/01/2010,WOLF,WMN,DI,200,602009,6586858,1.3,8.5,1.65 ,GRAC,1050,QUEEN ST,1,Z09,0054,881516
   152891,83736,1,08/12/2002,WOLF,WMN,CI,150,602068,602072,1.1,8.7,2.40 ,SAND,,CRESTDALE RD,1,Z09,0084,517222
  1927332,2216895,1,09/06/2014,WOLF,WMN,CI,150,602069,602055,1.1,8.5,2.13 ,CLAY,INTRSEC,CRESTDALE RD,1,Z09,0084,517104
   273752,1,1,04/02/1995,,WMN,CI,150,602069,602055,1.1,8.7,0.00 ,,,CRESTDALE RD,1,Z09,0084,517104
   901840,1220906,1,25/12/2009,WOLF,WMN,CI,150,602070,602041,1.1,8.7,1.83 ,SAND,1569,NARVA RD,1,Z09,0084,517204
   154892,1,1,17/12/2002,WOLF,WMN,CI,150,602070,602041,,,,,,NARVA RD,1,Z09,0084,517204
   273957,1,1,26/04/1995,,WMN,CI,150,602070,602041,1.1,8.7,0.00 ,,,NARVA RD,1,Z09,0084,517204
   436609,605433,1,15/10/2006,WOLF,WMN,CI,150,602071,602056,1.3,8.5,2.13 ,CLAY,1339,SAGINAW CR,1,Z09,0100,517212
   320599,324495,1,20/03/2005,WOLF,WMN,CI,150,602071,602072,1.1,8.7,1.83 ,SAND,,SAGINAW CR,1,Z09,0083,517105
  2136490,2406165,1,14/02/2015,WOLF,WMN,DI,150,602073,6549304,1.3,,2.64 ,,1185,SAGINAW CR,1,Z09,0100,711226
  1032409,1365985,1,25/09/2010,WOLF,WMN,DI,150,602073,6549304,1.3,8.5,2.13 ,CLAY,1155,SAGINAW CR,1,Z09,0100,711226
  1032135,1365753,4,24/09/2010,WOLF,WMN,DI,150,602073,6549304,1.3,8.5,1.83 ,SHAL,1185,SAGINAW CR,1,Z09,0100,711226
   281877,1,1,21/09/2004,WOLF,WMN,DI,150,602073,6549304,1.3,8.5,1.80 ,CLAY,,SAGINAW CR,1,Z09,0100,711226
   281883,1,1,21/09/2004,WOLF,WMN,DI,150,602073,6549304,1.3,8.5,1.80 ,CLAY,,SAGINAW CR,1,Z09,0100,711226
   134170,1,1,11/08/2002,WOLF,WMN,DI,150,602074,600406,1.3,8.5,2.10 ,CLAY,,SAGINAW CR,1,Z09,0084,517106
   204854,1,1,24/08/2003,WOLF,WMN,CI,150,602078,602079,1.1,8.7,2.40 ,SAND,,TECUMSEH PARK DR,1,Z09,0085,517109
  1253481,1571633,1,31/10/2011,WOLF,WMN,DI,150,602079,602080,1.3,8.5,2.13 ,SACL,1393,TECUMSEH PARK DR,1,Z09,0085,525674
  1058139,1398773,1,03/12/2010,WOLF,WMN,DI,150,602079,602080,1.3,8.5,2.13 ,SAND,1363,TECUMSEH PARK DR,1,Z09,0085,525674
   625836,961223,1,31/08/2008,WOLF,WMN,DI,150,602079,602080,1.3,8.5,1.83 ,SAGR,1375,TECUMSEH PARK DR,1,Z09,0085,525674
   519686,797001,2,15/11/2007,WOLF,WMN,DI,150,602079,602080,1.3,8.5,1.83 ,CLAY,1375,TECUMSEH PARK DR,1,Z09,0085,525674
   510681,769906,1,02/10/2007,WOLF,WMN,DI,150,602079,602080,1.3,8.5,1.98 ,SACL,1375,TECUMSEH PARK DR,1,Z09,0085,525674
   275085,244631,1,16/08/2004,WOLF,WMN,DI,150,602079,602080,1.3,8.5,1.80 ,SAND,,TECUMSEH PARK DR,1,Z09,0085,525674
   217602,128874,1,05/11/2003,WOLF,WMN,DI,150,602079,602080,1.3,8.5,1.80 ,SACL,,TECUMSEH PARK DR,1,Z09,0085,525674
