BRKS_FVYRS_SCR,BRK_SCR,MI_SCR,RSL_SCR,out=1.0,out=2.0,out=3.0,out=4.0,out=5.0
0.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,5.0,0.0,0.99999,1e-05,0.0,0.0,0.0
0.0,0.0,5.0,10.0,0.99466,0.00529,5e-05,0.0,0.0
0.0,10.0,5.0,10.0,0.0,0.95486,0.04514,0.0,0.0
0.0,15.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0
0.0,5.0,5.0,10.0,0.99376,0.00602,0.00022,0.0,0.0
0.0,0.0,5.0,15.0,0.9914,0.00605,0.00255,0.0,0.0
0.0,10.0,5.0,15.0,0.0,0.30651,0.69349,0.0,0.0
0.0,15.0,5.0,15.0,0.0,0.0,1.0,0.0,0.0
0.0,5.0,5.0,15.0,0.98119,0.00681,0.01199,0.0,0.0
0.0,0.0,5.0,5.0,0.93248,0.06689,0.00063,0.0,0.0
0.0,10.0,5.0,5.0,0.0,0.95196,0.04804,0.0,0.0
0.0,15.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0
0.0,5.0,5.0,5.0,0.9218,0.07525,0.00295,0.0,0.0
10.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,5.0,10.0,0.0,0.97355,0.02645,0.0,0.0
10.0,10.0,5.0,10.0,0.0,0.87272,0.12728,0.0,0.0
10.0,15.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0
10.0,5.0,5.0,10.0,0.0,0.89813,0.10187,0.0,0.0
10.0,0.0,5.0,15.0,0.0,0.43472,0.56528,0.0,0.0
10.0,10.0,5.0,15.0,0.0,0.12532,0.87468,0.0,0.0
10.0,15.0,5.0,15.0,0.0,0.0,1.0,0.0,0.0
10.0,5.0,5.0,15.0,0.0,0.15556,0.84444,0.0,0.0
10.0,0.0,5.0,5.0,0.0,0.97182,0.02818,0.0,0.0
10.0,10.0,5.0,5.0,0.0,0.86529,0.13471,0.0,0.0
10.0,15.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0
10.0,5.0,5.0,5.0,0.0,0.892,0.108,0.0,0.0
15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,5.0,0.0,0.99999,1e-05,0.0,0.0,0.0
5.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,5.0,0.0,0.99999,1e-05,0.0,0.0,0.0
5.0,0.0,5.0,10.0,0.99535,0.0045,0.00015,0.0,0.0
5.0,10.0,5.0,10.0,0.0,0.85014,0.14986,0.0,0.0
5.0,15.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0
5.0,5.0,5.0,10.0,0.99418,0.00512,0.0007,0.0,0.0
5.0,0.0,5.0,15.0,0.98683,0.00512,0.00805,0.0,0.0
5.0,10.0,5.0,15.0,0.0,0.10597,0.89403,0.0,0.0
5.0,15.0,5.0,15.0,0.0,0.0,1.0,0.0,0.0
5.0,5.0,5.0,15.0,0.95726,0.00565,0.03708,0.0,0.0
5.0,0.0,5.0,5.0,0.94062,0.05737,0.00201,0.0,0.0
5.0,10.0,5.0,5.0,0.0,0.84163,0.15837,0.0,0.0
5.0,15.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0
5.0,5.0,5.0,5.0,0.92631,0.06429,0.00941,0.0,0.0
