fuzzy_criticality_model,naive_bayes_Condition_Score,naive_bayes_condition_model_nb_pred,fuzzy_Criticality_SCR,FID,fuzzy_condition_model,fuzzy_Condition_Score
30,176.0,,30,3452,200,200
210,132.0,,210,3810,160,160
30,220.0,,30,3811,240,240
270,220.0,,270,3816,240,240
210,308.0,,210,3817,320,320
210,264.0,,210,3814,280,280
30,176.0,,30,3453,200,200
120,264.0,,120,3818,280,280
210,88.0,,210,3819,120,120
120,264.0,,120,3450,280,280
30,220.0,,30,3451,240,240
270,132.0,,270,3627,160,160
120,308.0,,120,3456,320,320
270,88.0,,270,3626,120,120
30,220.0,,30,3457,240,240
30,132.0,,30,3454,160,160
270,220.0,,270,853,240,240
120,132.0,,120,3510,160,160
120,88.0,,120,3517,120,120
120,352.0,,120,3516,360,360
120,264.0,,120,3514,280,280
30,176.0,,30,3474,200,200
120,220.0,,120,3475,240,240
30,132.0,,30,2183,160,160
210,220.0,,210,2182,240,240
210,176.0,,210,2181,200,200
30,88.0,,30,2180,120,120
120,220.0,,120,2187,240,240
30,176.0,,30,2186,200,200
210,132.0,,210,229,160,160
210,176.0,,210,228,200,200
210,176.0,,210,227,200,200
30,176.0,,30,226,200,200
30,132.0,,30,225,160,160
30,308.0,,30,224,320,320
30,176.0,,30,223,200,200
120,220.0,,120,222,240,240
30,220.0,,30,221,240,240
30,132.0,,30,220,160,160
210,176.0,,210,2213,200,200
210,176.0,,210,2212,200,200
30,132.0,,30,2211,160,160
30,132.0,,30,2210,160,160
30,176.0,,30,2217,200,200
120,176.0,,120,2216,200,200
210,176.0,,210,2215,200,200
120,264.0,,120,2214,280,280
210,88.0,,210,2219,120,120
210,176.0,,210,2218,200,200
30,264.0,,30,3698,280,280
270,220.0,,270,2681,240,240
210,132.0,,210,2230,160,160
210,88.0,,210,3549,120,120
30,264.0,,30,151,280,280
30,176.0,,30,150,200,200
30,132.0,,30,153,160,160
30,88.0,,30,152,120,120
210,308.0,,210,155,320,320
30,132.0,,30,154,160,160
210,132.0,,210,157,160,160
210,176.0,,210,156,200,200
210,220.0,,210,159,240,240
210,264.0,,210,158,280,280
210,264.0,,210,2431,280,280
210,176.0,,210,2430,200,200
210,220.0,,210,2437,240,240
210,220.0,,210,2436,240,240
210,220.0,,210,2435,240,240
30,220.0,,30,2434,240,240
210,88.0,,210,2236,120,120
30,396.0,,30,3470,400,400
120,132.0,,120,2509,160,160
120,88.0,,120,2508,120,120
120,132.0,,120,2507,160,160
120,132.0,,120,2506,160,160
120,132.0,,120,2505,160,160
30,0.0,,30,2504,40,40
120,440.0,,120,2503,440,440
120,352.0,,120,2502,360,360
120,308.0,,120,2501,320,320
210,88.0,,210,2500,120,120
180,220.0,,180,2727,240,240
180,176.0,,180,2726,200,200
180,220.0,,180,2725,240,240
180,264.0,,180,2724,280,280
180,132.0,,180,2723,160,160
180,132.0,,180,2722,160,160
180,220.0,,180,2721,240,240
180,132.0,,180,2720,160,160
180,176.0,,180,2729,200,200
180,176.0,,180,2728,200,200
30,308.0,,30,3942,320,320
210,264.0,,210,2199,280,280
270,88.0,,270,1807,120,120
270,88.0,,270,1806,120,120
270,176.0,,270,1805,200,200
270,88.0,,270,1804,120,120
270,308.0,,270,1803,320,320
270,220.0,,270,1802,240,240
270,176.0,,270,1801,200,200
270,176.0,,270,1800,200,200
180,264.0,,180,3788,280,280
180,264.0,,180,3789,280,280
270,88.0,,270,1809,120,120
270,88.0,,270,1808,120,120
120,220.0,,120,3089,240,240
120,132.0,,120,3473,160,160
180,220.0,,180,3765,240,240
120,308.0,,120,3088,320,320
270,132.0,,270,3710,160,160
30,132.0,,30,3258,160,160
210,220.0,,210,1524,240,240
0,220.0,,0,1948,240,240
210,88.0,,210,1544,120,120
30,44.0,,30,1525,80,80
210,176.0,,210,1942,200,200
210,176.0,,210,1943,200,200
180,264.0,,180,1940,280,280
210,220.0,,210,1941,240,240
210,176.0,,210,1946,200,200
30,44.0,,30,1526,80,80
210,44.0,,210,1944,80,80
0,352.0,,0,1945,360,360
180,88.0,,180,818,120,120
30,264.0,,30,0,280,280
30,220.0,,30,1527,240,240
180,132.0,,180,810,160,160
180,176.0,,180,811,200,200
180,176.0,,180,812,200,200
180,176.0,,180,813,200,200
180,132.0,,180,814,160,160
180,88.0,,180,815,120,120
180,88.0,,180,816,120,120
180,88.0,,180,817,120,120
240,176.0,,240,2859,200,200
210,176.0,,210,1545,200,200
30,264.0,,30,3495,280,280
210,176.0,,210,1522,200,200
180,220.0,,180,1990,240,240
180,352.0,,180,2851,360,360
180,308.0,,180,2850,320,320
180,308.0,,180,2853,320,320
30,44.0,,30,1523,80,80
180,220.0,,180,2855,240,240
210,220.0,,210,1993,240,240
180,308.0,,180,2857,320,320
180,220.0,,180,2856,240,240
30,88.0,,30,1490,120,120
210,264.0,,210,1397,280,280
210,264.0,,210,1492,280,280
210,176.0,,210,1493,200,200
210,176.0,,210,1494,200,200
210,176.0,,210,1495,200,200
210,176.0,,210,1496,200,200
210,308.0,,210,1396,320,320
30,264.0,,30,1498,280,280
90,264.0,,90,1499,280,280
30,176.0,,30,3339,200,200
30,88.0,,30,3338,120,120
210,220.0,,210,1395,240,240
210,132.0,,210,1994,160,160
210,176.0,,210,1700,200,200
210,132.0,,210,1701,160,160
210,352.0,,210,1702,360,360
210,220.0,,210,1394,240,240
210,308.0,,210,1704,320,320
210,88.0,,210,1705,120,120
210,352.0,,210,1706,360,360
210,176.0,,210,1707,200,200
210,132.0,,210,1708,160,160
210,176.0,,210,1393,200,200
210,132.0,,210,1996,160,160
210,176.0,,210,1392,200,200
210,176.0,,210,1391,200,200
210,88.0,,210,3217,120,120
30,176.0,,30,1390,200,200
180,88.0,,180,3659,120,120
210,308.0,,210,1128,320,320
210,352.0,,210,1129,360,360
210,132.0,,210,1628,160,160
210,220.0,,210,3813,240,240
210,308.0,,210,1120,320,320
210,220.0,,210,1121,240,240
210,264.0,,210,1122,280,280
210,220.0,,210,1123,240,240
210,264.0,,210,1124,280,280
210,308.0,,210,1125,320,320
210,88.0,,210,1126,120,120
210,264.0,,210,1127,280,280
0,308.0,,0,2989,320,320
0,308.0,,0,2988,320,320
210,308.0,,210,3029,320,320
120,220.0,,120,3028,240,240
30,220.0,,30,2983,240,240
30,396.0,,30,2982,400,400
30,220.0,,30,2981,240,240
30,440.0,,30,2980,480,480
0,264.0,,0,2987,280,280
0,352.0,,0,2986,360,360
0,220.0,,0,2985,240,240
30,352.0,,30,2984,360,360
210,132.0,,210,524,160,160
210,264.0,,210,525,280,280
210,88.0,,210,526,120,120
210,88.0,,210,527,120,120
210,176.0,,210,520,200,200
210,132.0,,210,521,160,160
210,132.0,,210,522,160,160
210,176.0,,210,523,200,200
210,308.0,,210,1014,320,320
210,220.0,,210,1015,240,240
210,264.0,,210,1016,280,280
210,264.0,,210,1017,280,280
210,88.0,,210,528,120,120
210,88.0,,210,529,120,120
210,220.0,,210,1012,240,240
210,132.0,,210,1013,160,160
210,88.0,,210,1234,120,120
210,88.0,,210,1235,120,120
210,220.0,,210,1236,240,240
210,308.0,,210,1237,320,320
210,176.0,,210,1230,200,200
210,220.0,,210,1231,240,240
210,176.0,,210,1232,200,200
210,88.0,,210,1233,120,120
30,308.0,,30,3957,320,320
210,132.0,,210,1238,160,160
210,132.0,,210,1239,160,160
30,308.0,,30,3956,320,320
120,132.0,,120,2526,160,160
30,220.0,,30,3955,240,240
30,308.0,,30,3954,320,320
30,220.0,,30,3167,240,240
210,308.0,,210,438,320,320
30,132.0,,30,439,160,160
210,308.0,,210,436,320,320
210,264.0,,210,437,280,280
90,88.0,,90,434,120,120
210,220.0,,210,435,240,240
120,176.0,,120,432,200,200
90,88.0,,90,433,120,120
30,176.0,,30,430,200,200
30,220.0,,30,431,240,240
0,264.0,,0,3809,280,280
180,220.0,,180,3808,240,240
180,264.0,,180,3805,280,280
210,44.0,,210,3804,80,80
210,88.0,,210,3807,120,120
180,440.0,,180,3806,480,480
120,308.0,,120,3801,320,320
0,308.0,,0,3800,320,320
120,176.0,,120,3803,200,200
30,88.0,,30,3802,120,120
240,264.0,,240,2864,280,280
30,220.0,,30,2481,240,240
240,176.0,,240,2865,200,200
180,220.0,,180,1967,240,240
180,308.0,,180,2868,320,320
210,132.0,,210,3162,160,160
180,264.0,,180,2869,280,280
30,220.0,,30,3082,240,240
180,176.0,,180,1960,200,200
210,88.0,,210,3314,120,120
210,220.0,,210,3163,240,240
180,220.0,,180,4076,240,240
30,176.0,,30,3225,200,200
180,264.0,,180,1961,280,280
30,88.0,,30,3160,120,120
120,308.0,,120,3060,320,320
30,176.0,,30,2464,200,200
120,352.0,,120,3065,360,360
210,88.0,,210,2465,120,120
30,220.0,,30,3064,240,240
210,176.0,,210,2466,200,200
210,176.0,,210,3161,200,200
210,88.0,,210,2467,120,120
120,220.0,,120,238,240,240
120,176.0,,120,239,200,200
180,220.0,,180,4070,240,240
30,220.0,,30,234,240,240
30,308.0,,30,235,320,320
120,220.0,,120,236,240,240
120,176.0,,120,237,200,200
30,220.0,,30,230,240,240
120,176.0,,120,231,200,200
120,132.0,,120,232,160,160
30,132.0,,30,233,160,160
30,308.0,,30,3068,320,320
30,132.0,,30,2462,160,160
210,88.0,,210,2228,120,120
210,308.0,,210,2229,320,320
120,132.0,,120,2226,160,160
30,176.0,,30,2227,200,200
120,132.0,,120,2224,160,160
120,176.0,,120,2225,200,200
210,176.0,,210,2222,200,200
210,176.0,,210,2223,200,200
210,88.0,,210,2220,120,120
210,88.0,,210,2221,120,120
90,308.0,,90,1,320,320
30,132.0,,30,146,160,160
30,220.0,,30,147,240,240
30,132.0,,30,144,160,160
30,176.0,,30,145,200,200
30,132.0,,30,142,160,160
30,132.0,,30,143,160,160
30,132.0,,30,140,160,160
30,264.0,,30,141,280,280
210,88.0,,210,2468,120,120
30,132.0,,30,148,160,160
30,220.0,,30,149,240,240
120,88.0,,120,3401,120,120
210,132.0,,210,2088,160,160
30,264.0,,30,2089,280,280
120,88.0,,120,3400,120,120
210,132.0,,210,2082,160,160
30,440.0,,30,2083,440,440
30,264.0,,30,2080,280,280
30,132.0,,30,2081,160,160
210,264.0,,210,2086,280,280
210,132.0,,210,2087,160,160
210,220.0,,210,2084,240,240
210,176.0,,210,2085,200,200
120,220.0,,120,3342,240,240
120,352.0,,120,2538,360,360
120,132.0,,120,2539,160,160
120,220.0,,120,3343,240,240
30,88.0,,30,2532,120,120
30,176.0,,30,2533,200,200
120,176.0,,120,2530,200,200
30,132.0,,30,2531,160,160
30,132.0,,30,2536,160,160
30,132.0,,30,2537,160,160
30,132.0,,30,2534,160,160
30,132.0,,30,2535,160,160
180,132.0,,180,2712,160,160
180,220.0,,180,2713,240,240
180,132.0,,180,2710,160,160
180,132.0,,180,2711,160,160
180,308.0,,180,2716,320,320
270,132.0,,270,2717,160,160
180,132.0,,180,2714,160,160
180,132.0,,180,2715,160,160
120,264.0,,120,3346,280,280
270,176.0,,270,2718,200,200
270,176.0,,270,2719,200,200
30,352.0,,30,3347,360,360
30,176.0,,30,3409,200,200
120,88.0,,120,3344,120,120
30,220.0,,30,3408,240,240
120,264.0,,120,3345,280,280
270,264.0,,270,1832,280,280
270,176.0,,270,1833,200,200
270,132.0,,270,1830,160,160
270,88.0,,270,1831,120,120
270,176.0,,270,1836,200,200
270,176.0,,270,1837,200,200
270,176.0,,270,1834,200,200
270,176.0,,270,1835,200,200
180,220.0,,180,3795,240,240
30,396.0,,30,3090,400,400
270,88.0,,270,1838,120,120
270,132.0,,270,1839,160,160
180,264.0,,180,3791,280,280
180,308.0,,180,3790,320,320
120,308.0,,120,3075,320,320
180,220.0,,180,3792,240,240
30,132.0,,30,2154,160,160
210,220.0,,210,2155,240,240
210,220.0,,210,939,240,240
180,176.0,,180,938,200,200
30,308.0,,30,2150,320,320
120,132.0,,120,2151,160,160
210,440.0,,210,2152,440,440
30,176.0,,30,2153,200,200
210,132.0,,210,933,160,160
120,264.0,,120,932,280,280
30,220.0,,30,931,240,240
270,88.0,,270,930,120,120
180,264.0,,180,937,280,280
210,132.0,,210,936,160,160
210,176.0,,210,935,200,200
210,132.0,,210,934,160,160
30,396.0,,30,3091,400,400
0,264.0,,0,1955,280,280
210,132.0,,210,1954,160,160
180,264.0,,180,1957,280,280
180,264.0,,180,1956,280,280
180,308.0,,180,1951,320,320
210,308.0,,210,1950,320,320
210,132.0,,210,1953,160,160
210,176.0,,210,1952,200,200
180,264.0,,180,1959,280,280
180,220.0,,180,1958,240,240
120,88.0,,120,3249,120,120
120,88.0,,120,3248,120,120
30,308.0,,30,3096,320,320
120,132.0,,120,3243,160,160
210,88.0,,210,3242,120,120
210,88.0,,210,3241,120,120
30,88.0,,30,3240,120,120
120,88.0,,120,3247,120,120
120,88.0,,120,3246,120,120
120,88.0,,120,3245,120,120
120,88.0,,120,3244,120,120
180,264.0,,180,829,280,280
270,132.0,,270,828,160,160
270,132.0,,270,825,160,160
270,176.0,,270,824,200,200
270,132.0,,270,827,160,160
270,132.0,,270,826,160,160
180,88.0,,180,821,120,120
180,88.0,,180,820,120,120
270,132.0,,270,823,160,160
270,176.0,,270,822,200,200
30,264.0,,30,3097,280,280
30,132.0,,30,1536,160,160
210,176.0,,210,2409,200,200
30,88.0,,30,3227,120,120
210,308.0,,210,1483,320,320
210,220.0,,210,1482,240,240
210,176.0,,210,1481,200,200
210,176.0,,210,1480,200,200
30,220.0,,30,1487,240,240
30,308.0,,30,1486,320,320
30,264.0,,30,1485,280,280
30,88.0,,30,1484,120,120
210,132.0,,210,3306,160,160
210,132.0,,210,3307,160,160
30,132.0,,30,1489,160,160
30,352.0,,30,1488,360,360
30,132.0,,30,3302,160,160
30,132.0,,30,3303,160,160
30,176.0,,30,3300,200,200
30,88.0,,30,3301,120,120
180,88.0,,180,797,120,120
270,220.0,,270,796,240,240
180,132.0,,180,795,160,160
180,88.0,,180,794,120,120
180,176.0,,180,793,200,200
270,308.0,,270,792,320,320
240,88.0,,240,791,120,120
180,132.0,,180,790,160,160
120,220.0,,120,3050,240,240
210,220.0,,210,1719,240,240
210,220.0,,210,1718,240,240
210,88.0,,210,2413,120,120
180,132.0,,180,799,160,160
270,88.0,,270,798,120,120
210,132.0,,210,1270,160,160
210,176.0,,210,2412,200,200
210,88.0,,210,1271,120,120
210,352.0,,210,2415,360,360
210,396.0,,210,1272,400,400
210,220.0,,210,2414,240,240
270,88.0,,270,4062,120,120
30,176.0,,30,1139,200,200
30,132.0,,30,1138,160,160
210,132.0,,210,2417,160,160
120,308.0,,120,3051,320,320
210,220.0,,210,1133,240,240
210,352.0,,210,1132,360,360
210,440.0,,210,1131,440,440
210,308.0,,210,1130,320,320
30,176.0,,30,1137,200,200
30,132.0,,30,1136,160,160
30,220.0,,30,1135,240,240
210,264.0,,210,1134,280,280
30,132.0,,30,2419,160,160
270,88.0,,270,4061,120,120
210,88.0,,210,1276,120,120
30,176.0,,30,2418,200,200
180,220.0,,180,4066,240,240
210,132.0,,210,1277,160,160
0,308.0,,0,2790,320,320
30,176.0,,30,3018,200,200
0,308.0,,0,2791,320,320
120,220.0,,120,3012,240,240
270,88.0,,270,2796,120,120
30,220.0,,30,3010,240,240
270,88.0,,270,2793,120,120
30,220.0,,30,3016,240,240
30,176.0,,30,3017,200,200
30,176.0,,30,3014,200,200
270,88.0,,270,2797,120,120
210,308.0,,210,519,320,320
210,132.0,,210,518,160,160
30,176.0,,30,2149,200,200
210,308.0,,210,1009,320,320
210,220.0,,210,1008,240,240
210,264.0,,210,1007,280,280
210,220.0,,210,1006,240,240
210,352.0,,210,1005,360,360
210,220.0,,210,1004,240,240
210,132.0,,210,515,160,160
30,396.0,,30,1002,400,400
210,132.0,,210,517,160,160
210,264.0,,210,1000,280,280
210,132.0,,210,623,160,160
210,132.0,,210,622,160,160
210,176.0,,210,1225,200,200
210,220.0,,210,620,240,240
210,176.0,,210,627,200,200
210,176.0,,210,626,200,200
210,132.0,,210,625,160,160
210,176.0,,210,624,200,200
210,176.0,,210,629,200,200
210,176.0,,210,628,200,200
210,132.0,,210,1229,160,160
210,176.0,,210,1228,200,200
30,264.0,,30,3279,280,280
30,132.0,,30,1535,160,160
180,308.0,,180,2882,320,320
180,264.0,,180,2883,280,280
180,308.0,,180,2880,320,320
180,264.0,,180,2881,280,280
180,264.0,,180,2886,280,280
180,308.0,,180,2887,320,320
180,264.0,,180,2884,280,280
180,264.0,,180,2885,280,280
180,220.0,,180,2888,240,240
180,352.0,,180,2889,360,360
180,132.0,,180,3662,160,160
90,132.0,,90,2,160,160
0,220.0,,0,3878,240,240
0,176.0,,0,3879,200,200
30,132.0,,30,3196,160,160
120,176.0,,120,3870,200,200
0,352.0,,0,3871,360,360
0,264.0,,0,3872,280,280
0,220.0,,0,3873,240,240
0,220.0,,0,3874,240,240
0,176.0,,0,3875,200,200
0,220.0,,0,3876,240,240
0,264.0,,0,3877,280,280
210,176.0,,210,1286,200,200
210,176.0,,210,11,200,200
210,352.0,,210,10,360,360
210,176.0,,210,13,200,200
210,396.0,,210,12,400,400
120,308.0,,120,15,320,320
120,352.0,,120,14,360,360
120,308.0,,120,17,320,320
120,220.0,,120,16,240,240
30,176.0,,30,19,200,200
210,132.0,,210,18,160,160
120,176.0,,120,3118,200,200
210,88.0,,210,3274,120,120
210,88.0,,210,3275,120,120
30,88.0,,30,2382,120,120
210,88.0,,210,3272,120,120
210,264.0,,210,3194,280,280
30,220.0,,30,3904,240,240
30,220.0,,30,3905,240,240
30,440.0,,30,3906,480,480
30,440.0,,30,3907,480,480
30,176.0,,30,3900,200,200
210,88.0,,210,3270,120,120
30,264.0,,30,3902,280,280
30,396.0,,30,3903,400,400
210,264.0,,210,3027,280,280
210,88.0,,210,3271,120,120
30,352.0,,30,3908,360,360
30,440.0,,30,3909,440,440
30,308.0,,30,3111,320,320
120,88.0,,120,3193,120,120
270,176.0,,270,2742,200,200
210,132.0,,210,1534,160,160
30,176.0,,30,3278,200,200
30,176.0,,30,3192,200,200
210,132.0,,210,201,160,160
210,132.0,,210,200,160,160
210,132.0,,210,203,160,160
210,132.0,,210,202,160,160
210,132.0,,210,205,160,160
210,132.0,,210,204,160,160
210,132.0,,210,207,160,160
210,176.0,,210,206,200,200
210,132.0,,210,209,160,160
210,132.0,,210,208,160,160
270,132.0,,270,2745,160,160
120,132.0,,120,3476,160,160
210,88.0,,210,3989,120,120
210,88.0,,210,1573,120,120
120,220.0,,120,3477,240,240
210,88.0,,210,1572,120,120
120,220.0,,120,3191,240,240
210,176.0,,210,1571,200,200
120,220.0,,120,3471,240,240
210,88.0,,210,2239,120,120
210,132.0,,210,2238,160,160
210,88.0,,210,1570,120,120
120,132.0,,120,3472,160,160
210,220.0,,210,2231,240,240
210,88.0,,210,1577,120,120
30,176.0,,30,2233,200,200
210,176.0,,210,2232,200,200
210,88.0,,210,2235,120,120
30,132.0,,30,2234,160,160
210,88.0,,210,2237,120,120
210,88.0,,210,1576,120,120
210,88.0,,210,1575,120,120
120,308.0,,120,3190,320,320
210,88.0,,210,1574,120,120
180,308.0,,180,3577,320,320
30,176.0,,30,2185,200,200
30,176.0,,30,3498,200,200
120,132.0,,120,3499,160,160
30,308.0,,30,3496,320,320
30,132.0,,30,3497,160,160
120,88.0,,120,3494,120,120
30,132.0,,30,2184,160,160
120,88.0,,120,3492,120,120
120,88.0,,120,3493,120,120
120,88.0,,120,3490,120,120
210,132.0,,210,3223,160,160
120,264.0,,120,2095,280,280
120,308.0,,120,2094,320,320
30,176.0,,30,2097,200,200
30,176.0,,30,2096,200,200
210,132.0,,210,2091,160,160
30,352.0,,30,2090,360,360
210,132.0,,210,2093,160,160
210,132.0,,210,2092,160,160
270,308.0,,270,3654,320,320
270,352.0,,270,3655,360,360
270,220.0,,270,3656,240,240
180,0.0,,180,3657,40,40
210,264.0,,210,2099,280,280
210,176.0,,210,2098,200,200
270,264.0,,270,3652,280,280
270,220.0,,270,3653,240,240
120,132.0,,120,2525,160,160
30,176.0,,30,2524,200,200
120,132.0,,120,2527,160,160
120,176.0,,120,2188,200,200
30,220.0,,30,2521,240,240
30,132.0,,30,2520,160,160
120,132.0,,120,2523,160,160
120,176.0,,120,2522,200,200
120,132.0,,120,2529,160,160
120,132.0,,120,2528,160,160
180,176.0,,180,2709,200,200
180,220.0,,180,2708,240,240
180,132.0,,180,2705,160,160
180,132.0,,180,2704,160,160
180,132.0,,180,2707,160,160
180,220.0,,180,2706,240,240
180,176.0,,180,2701,200,200
180,176.0,,180,2700,200,200
180,220.0,,180,2703,240,240
180,44.0,,180,2702,80,80
180,308.0,,180,4090,320,320
270,132.0,,270,1829,160,160
270,88.0,,270,1828,120,120
240,176.0,,240,2951,200,200
270,88.0,,270,1825,120,120
270,88.0,,270,1824,120,120
270,88.0,,270,1827,120,120
270,176.0,,270,1826,200,200
270,132.0,,270,1821,160,160
270,264.0,,270,1820,280,280
270,88.0,,270,1823,120,120
270,88.0,,270,1822,120,120
270,132.0,,270,928,160,160
270,132.0,,270,929,160,160
30,220.0,,30,2145,240,240
120,88.0,,120,2144,120,120
210,220.0,,210,2143,240,240
210,132.0,,210,2142,160,160
210,132.0,,210,2141,160,160
30,176.0,,30,2140,200,200
180,176.0,,180,920,200,200
180,352.0,,180,921,360,360
180,176.0,,180,922,200,200
180,264.0,,180,923,280,280
270,132.0,,270,924,160,160
270,132.0,,270,925,160,160
270,132.0,,270,926,160,160
270,88.0,,270,927,120,120
120,88.0,,120,3669,120,120
30,220.0,,30,3950,240,240
210,176.0,,210,2411,200,200
270,88.0,,270,1920,120,120
270,44.0,,270,1921,80,80
270,88.0,,270,1922,120,120
180,308.0,,180,1923,320,320
0,220.0,,0,1924,240,240
180,396.0,,180,1925,400,400
180,396.0,,180,1926,400,400
180,264.0,,180,1927,280,280
180,264.0,,180,1928,280,280
0,308.0,,0,1929,320,320
30,396.0,,30,3069,400,400
120,264.0,,120,3145,280,280
270,132.0,,270,832,160,160
180,220.0,,180,833,240,240
270,132.0,,270,830,160,160
270,176.0,,270,831,200,200
180,220.0,,180,836,240,240
180,176.0,,180,837,200,200
180,176.0,,180,834,200,200
180,44.0,,180,835,80,80
180,132.0,,180,838,160,160
180,176.0,,180,839,200,200
120,176.0,,120,3478,200,200
120,132.0,,120,3479,160,160
120,176.0,,120,3,200,200
180,264.0,,180,1986,280,280
30,176.0,,30,3332,200,200
120,220.0,,120,3199,240,240
30,352.0,,30,3941,360,360
30,88.0,,30,3319,120,120
30,220.0,,30,3318,240,240
210,88.0,,210,2511,120,120
210,132.0,,210,3311,160,160
210,88.0,,210,3310,120,120
120,132.0,,120,3313,160,160
210,88.0,,210,3312,120,120
210,88.0,,210,3315,120,120
180,220.0,,180,1987,240,240
30,88.0,,30,1532,120,120
210,88.0,,210,3316,120,120
180,88.0,,180,784,120,120
180,88.0,,180,785,120,120
180,88.0,,180,786,120,120
180,88.0,,180,787,120,120
270,132.0,,270,780,160,160
180,132.0,,180,781,160,160
180,176.0,,180,782,200,200
270,88.0,,270,783,120,120
210,220.0,,210,1726,240,240
210,176.0,,210,1727,200,200
210,132.0,,210,1724,160,160
210,220.0,,210,1725,240,240
180,132.0,,180,788,160,160
180,132.0,,180,789,160,160
30,132.0,,30,1720,160,160
30,132.0,,30,1721,160,160
120,264.0,,120,3361,280,280
210,88.0,,210,2355,120,120
30,220.0,,30,3330,240,240
120,88.0,,120,2439,120,120
210,308.0,,210,60,320,320
210,88.0,,210,61,120,120
210,132.0,,210,62,160,160
210,176.0,,210,63,200,200
30,132.0,,30,64,160,160
30,88.0,,30,65,120,120
210,220.0,,210,66,240,240
210,220.0,,210,67,240,240
210,264.0,,210,68,280,280
210,176.0,,210,69,200,200
30,220.0,,30,3009,240,240
120,220.0,,120,3008,240,240
210,176.0,,210,1371,200,200
210,308.0,,210,1588,320,320
210,220.0,,210,1589,240,240
210,88.0,,210,1370,120,120
210,220.0,,210,1582,240,240
210,220.0,,210,1583,240,240
210,88.0,,210,1580,120,120
210,88.0,,210,1581,120,120
210,308.0,,210,1586,320,320
210,264.0,,210,1373,280,280
210,264.0,,210,1584,280,280
210,352.0,,210,1585,360,360
210,176.0,,210,2433,200,200
210,264.0,,210,1038,280,280
210,220.0,,210,1039,240,240
210,88.0,,210,3317,120,120
120,176.0,,120,508,200,200
120,132.0,,120,509,160,160
210,132.0,,210,1032,160,160
120,220.0,,120,507,240,240
210,264.0,,210,1030,280,280
210,88.0,,210,505,120,120
210,132.0,,210,502,160,160
210,132.0,,210,503,160,160
120,176.0,,120,500,200,200
120,132.0,,120,501,160,160
210,264.0,,210,1212,280,280
210,352.0,,210,1213,360,360
210,88.0,,210,632,120,120
210,176.0,,210,633,200,200
210,176.0,,210,1216,200,200
210,220.0,,210,1217,240,240
210,176.0,,210,636,200,200
120,88.0,,120,637,120,120
210,132.0,,210,638,160,160
210,88.0,,210,639,120,120
210,132.0,,210,1218,160,160
210,264.0,,210,1219,280,280
180,132.0,,180,3024,160,160
210,132.0,,210,2416,160,160
30,88.0,,30,3335,120,120
30,88.0,,30,465,120,120
180,264.0,,180,2899,280,280
30,220.0,,30,1728,240,240
240,176.0,,240,2895,200,200
240,220.0,,240,2894,240,240
180,220.0,,180,2897,240,240
210,220.0,,210,1729,240,240
180,220.0,,180,2891,240,240
180,264.0,,180,2890,280,280
180,352.0,,180,2893,360,360
180,352.0,,180,2892,360,360
210,220.0,,210,1106,240,240
210,264.0,,210,1107,280,280
210,396.0,,210,1104,400,400
210,176.0,,210,1105,200,200
210,264.0,,210,1102,280,280
210,264.0,,210,1103,280,280
210,220.0,,210,1100,240,240
210,220.0,,210,1101,240,240
120,220.0,,120,3334,240,240
210,220.0,,210,1458,240,240
210,308.0,,210,1459,320,320
210,220.0,,210,1108,240,240
210,176.0,,210,1109,200,200
180,352.0,,180,3862,360,360
210,132.0,,210,4021,160,160
30,220.0,,30,3869,240,240
120,264.0,,120,3868,280,280
270,88.0,,270,4084,120,120
120,220.0,,120,4085,240,240
120,220.0,,120,4086,240,240
180,264.0,,180,4087,280,280
180,176.0,,180,3863,200,200
30,132.0,,30,1722,160,160
180,132.0,,180,3861,160,160
210,176.0,,210,3860,200,200
180,264.0,,180,3867,280,280
180,352.0,,180,3866,360,360
180,396.0,,180,3865,400,400
210,132.0,,210,1723,160,160
180,308.0,,180,3737,320,320
30,220.0,,30,3837,240,240
180,220.0,,180,3736,240,240
180,176.0,,180,3735,200,200
210,308.0,,210,3831,320,320
270,88.0,,270,1897,120,120
180,176.0,,180,3733,200,200
270,176.0,,270,1891,200,200
180,220.0,,180,3731,240,240
180,308.0,,180,3730,320,320
30,264.0,,30,3917,280,280
120,176.0,,120,2136,200,200
30,264.0,,30,3915,280,280
0,220.0,,0,3914,240,240
30,220.0,,30,3913,240,240
30,220.0,,30,3912,240,240
0,308.0,,0,3911,320,320
120,132.0,,120,2137,160,160
30,220.0,,30,3919,240,240
30,264.0,,30,3918,280,280
270,220.0,,270,2794,240,240
30,264.0,,30,3932,280,280
30,264.0,,30,3070,280,280
210,308.0,,210,4030,320,320
180,308.0,,180,2965,320,320
30,440.0,,30,3071,440,440
210,176.0,,210,4034,200,200
120,220.0,,120,216,240,240
30,132.0,,30,217,160,160
120,220.0,,120,214,240,240
120,132.0,,120,215,160,160
30,132.0,,30,212,160,160
30,176.0,,30,213,200,200
30,132.0,,30,210,160,160
30,132.0,,30,211,160,160
30,132.0,,30,1530,160,160
210,176.0,,210,4036,200,200
30,132.0,,30,218,160,160
30,132.0,,30,219,160,160
30,176.0,,30,3094,200,200
120,88.0,,120,2138,120,120
30,132.0,,30,2139,160,160
30,176.0,,30,4,200,200
120,88.0,,120,3489,120,120
120,88.0,,120,3488,120,120
120,308.0,,120,3481,320,320
