FID,condition_model,Criticality_SCR,Condition_Score,criticality_model
3142,160,30,160,30
3143,320,120,320,120
3144,280,120,280,120
3145,280,120,280,120
3146,280,120,280,120
3147,160,120,160,120
3148,160,120,160,120
3149,200,120,200,120
3150,200,120,200,120
3151,240,30,240,30
3152,160,30,160,30
3153,160,30,160,30
3154,160,30,160,30
3155,160,30,160,30
3156,240,120,240,120
3157,200,120,200,120
3158,200,30,200,30
3159,320,120,320,120
3160,120,30,120,30
3161,200,210,200,210
3162,160,210,160,210
3163,240,210,240,210
3164,200,210,200,210
3165,240,30,240,30
3166,160,120,160,120
3167,240,30,240,30
3168,240,30,240,30
3169,240,30,240,30
3170,200,30,200,30
3171,160,90,160,90
3172,160,120,160,120
3173,200,30,200,30
3174,200,30,200,30
3175,320,120,320,120
3176,240,120,240,120
3177,160,120,160,120
3178,200,120,200,120
3179,280,30,280,30
3180,160,30,160,30
3181,160,30,160,30
3182,160,30,160,30
3183,160,30,160,30
3184,240,90,240,90
3185,160,30,160,30
3186,240,90,240,90
3187,160,90,160,90
3188,240,120,240,120
3189,200,30,200,30
3190,320,120,320,120
3191,240,120,240,120
3192,200,30,200,30
3193,120,120,120,120
3194,280,210,280,210
3195,400,120,400,120
3196,160,30,160,30
3197,160,30,160,30
3198,200,120,200,120
3199,240,120,240,120
3200,160,30,160,30
3201,160,30,160,30
3202,200,30,200,30
3203,160,120,160,120
3204,240,120,240,120
3205,160,30,160,30
3206,280,30,280,30
3207,280,30,280,30
3208,120,30,120,30
3209,120,30,120,30
3210,160,30,160,30
3211,160,30,160,30
3212,160,90,160,90
3213,240,120,240,120
3214,120,210,120,210
3215,120,210,120,210
3216,160,210,160,210
3217,120,210,120,210
3218,120,210,120,210
3219,120,210,120,210
3220,120,210,120,210
3221,120,210,120,210
3222,120,210,120,210
3223,160,210,160,210
3224,160,120,160,120
3225,200,30,200,30
3226,120,30,120,30
3227,120,30,120,30
3228,160,30,160,30
3229,120,30,120,30
3230,120,30,120,30
3231,160,30,160,30
3232,120,30,120,30
3233,120,30,120,30
3234,200,30,200,30
3235,160,30,160,30
3236,120,30,120,30
3237,120,120,120,120
3238,200,120,200,120
3239,200,30,200,30
3240,120,30,120,30
3241,120,210,120,210
3242,120,210,120,210
3243,160,120,160,120
3244,120,120,120,120
3245,120,120,120,120
3246,120,120,120,120
3247,120,120,120,120
3248,120,120,120,120
3249,120,120,120,120
3250,120,120,120,120
3251,120,120,120,120
3252,120,120,120,120
3253,120,120,120,120
3254,120,120,120,120
3255,120,120,120,120
3256,120,210,120,210
3257,120,30,120,30
3258,160,30,160,30
3259,160,30,160,30
3260,120,30,120,30
3261,120,30,120,30
3262,120,30,120,30
3263,120,210,120,210
3264,120,120,120,120
3265,120,210,120,210
3266,200,210,200,210
3267,120,210,120,210
3268,120,210,120,210
3269,120,210,120,210
3270,120,210,120,210
3271,120,210,120,210
3272,120,210,120,210
3273,120,210,120,210
3274,120,210,120,210
3275,120,210,120,210
3276,120,120,120,120
3277,120,120,120,120
3278,200,30,200,30
3279,280,30,280,30
3280,200,120,200,120
3281,120,120,120,120
3282,120,210,120,210
3283,120,210,120,210
