FID,TARGET_Performance_Level,performance_pred,TARGET_Criticality_Level,criticality_pred,condition_pred,TARGET_Condition_level,TARGET_MITIGATION_Level_PAN,mitigation_pred
11725,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
11722,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
11723,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
11720,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
11721,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
11728,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
11729,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
17078,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
17079,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
17074,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
17075,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
17076,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0
17077,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
17070,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
17071,5.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0
17072,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
17073,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
9698,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
9699,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
9696,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
9697,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
9694,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
9695,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
9692,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0
9693,2.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0
9690,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
9691,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
20568,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
20569,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
20564,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
20565,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
20566,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
20567,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
20560,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
20561,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
20562,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0
20563,5.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0
16323,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
16322,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
23461,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
1537,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
1536,2.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0
643,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
642,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
1533,2.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0
644,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
1531,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
646,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0
23147,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
648,2.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0
23145,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
23144,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
23143,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
23142,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0
1539,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1538,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
19245,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
22238,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
16216,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
22236,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
22237,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0
22234,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
22235,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0
22232,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
16215,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
22230,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
22231,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
10422,5.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0
16214,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
10423,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0
16213,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
9315,3.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0
19240,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
10421,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
16211,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
10426,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0
19242,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
10427,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
3898,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0
3899,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
10424,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
3892,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
3893,2.0,2.0,5.0,3.0,3.0,3.0,2.0,1.0
3890,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
3891,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
3896,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
3897,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
3894,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0
3895,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
14456,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0
21758,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
21759,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
8951,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
21752,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
21753,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
14452,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0
14451,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0
14450,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
18056,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
3562,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
3563,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
3560,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
3561,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
3566,5.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0
3567,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
3564,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
